Student_ID,Sex,Race-Ethnicity,Eco_Dis,Program,Course,Predicted_Grade,Project_Grade,Final_Grade,2020_indicator,Final Grade > Project Grade,Final Grade > Predicted Grade,Final Grade > Both,Final Grade <Both,Moved to Below Passing
2049,M,H,1,COURSE,"ENGLISH A: Language and Literature, HL",1,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
2049,M,H,1,COURSE,"SPANISH AB INITIO., SL",2,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
2049,M,H,1,COURSE,"BIOLOGY, SL",2,1,2,1,TRUE,FALSE,FALSE,FALSE,FALSE
2049,M,H,1,COURSE,"MATH.STUDIES, SL",2,3,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
2049,M,H,1,COURSE,"MUSIC, SL",0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
2031,M,H,0,COURSE,"ENGLISH A: Language and Literature, HL",4,3,3,1,FALSE,FALSE,FALSE,FALSE,FALSE
2031,M,H,0,COURSE,"SPANISH AB INITIO., SL",3,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
2031,M,H,0,COURSE,"HISTORY, HL",3,3,2,1,FALSE,FALSE,FALSE,TRUE,FALSE
2031,M,H,0,COURSE,"BIOLOGY, SL",2,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
2031,M,H,0,COURSE,"MATH.STUDIES, SL",3,5,3,1,FALSE,FALSE,FALSE,FALSE,FALSE
2031,M,H,0,COURSE,"MUSIC, SL",3,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
2061,F,H,1,COURSE,"ENGLISH A: Language and Literature, HL",3,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
2061,F,H,1,COURSE,"SPANISH B, SL",7,6,6,1,FALSE,FALSE,FALSE,FALSE,FALSE
2061,F,H,1,COURSE,"ENVIRONMENTAL SYSTEMS AND SOCIETIES, SL",0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
2061,F,H,1,COURSE,"HISTORY, HL",0,0,0,1,FALSE,FALSE,FALSE,FALSE,FALSE
2061,F,H,1,COURSE,"MATH.STUDIES, SL",2,2,2,1,FALSE,FALSE,FALSE,FALSE,FALSE
